Tissue	kegg_pathway_ID	kegg_pathway_Name	IDs	S	B	Rich.Factor	P.value	Sig.Sign.P
BAT	ko00470	D-Amino acid metabolism	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C01157|L-Hydroxyproline, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C05942|Pyrrole-2-Carboxylate, C00515|D-Ornithine, C01672|Cadaverine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C04282|1-Pyrroline-4-hydroxy-2-carboxylate	14	69	0.2029	4.29E-15	****
BAT	ko04979	Cholesterol metabolism	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	10	0.7	1.14E-12	****
BAT	ko02010	ABC transporters	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid, C01157|L-Hydroxyproline, C00064|Glutamine, C00093|sn-Glycerol 3-phosphate, C00430|5-Aminolevulinic acid, C22040|S-Methyl-L-cysteine, C01487|Allose, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C00031|D-Glucose	15	138	0.1087	5.95E-12	****
BAT	ko04931	Insulin resistance	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00031|D-Glucose, C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	8	19	0.4211	6.30E-12	****
BAT	ko04975	Fat digestion and absorption	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	13	0.5385	1.59E-11	****
BAT	ko01230	Biosynthesis of amino acids	C00064|L-Glutamine, C00049|aspartate, C00956|L-2-Aminoadipic acid, C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C03406|Argininosuccinic acid, C00148|proline, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C00979|O-Acetylserine	14	128	0.1094	3.04E-11	****
BAT	ko04923	Regulation of lipolysis in adipocytes	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	14	0.5	3.16E-11	****
BAT	ko05417	Lipid and atherosclerosis	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	14	0.5	3.16E-11	****
BAT	ko00220	Arginine biosynthesis	C00064|L-Glutamine, C00049|aspartate, C03406|Argininosuccinic acid, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C00064|glutamine, C00049|L-Aspartic Acid, C00077|Ornithine	8	23	0.3478	3.95E-11	****
BAT	ko04714	Thermogenesis	C00422|TG(16:0/16:0/18:2), C11695|Anandamide, C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	8	23	0.3478	3.95E-11	****
BAT	ko04977	Vitamin digestion and absorption	C00003|beta-nicotinamide adenine dinucleotide, C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid, C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	9	39	0.2308	1.39E-10	****
BAT	ko04974	Protein digestion and absorption	C00388|Histamine, C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00064|Glutamine, C01672|Cadaverine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid	9	47	0.1915	8.37E-10	****
BAT	ko05230	Central carbon metabolism in cancer	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00064|Glutamine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00031|D-Glucose	8	37	0.2162	2.77E-09	****
BAT	ko00561	Glycerolipid metabolism	C00422|TG(16:0/16:0/18:2), C00093|sn-Glycerol 3-phosphate, C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	8	38	0.2105	3.49E-09	****
BAT	ko00250	Alanine, aspartate and glutamate metabolism	C00064|L-Glutamine, C00049|aspartate, C03406|Argininosuccinic acid, C00064|Glutamine, C00064|glutamine, C00049|L-Aspartic Acid	6	28	0.2143	3.23E-07	****
BAT	ko01100	Metabolic pathways	C00388|Histamine, C00570|CDP-ethanolamine, C14131|Equol, C00106|Uracil, C03793|Trimethyllysine, C00064|L-Glutamine, C02191|Protoporphyrin IX, C00049|aspartate, C12115|3-Amino-4-hydroxybenzoic acid, C00956|L-2-Aminoadipic acid, C00003|beta-nicotinamide adenine dinucleotide, C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C03406|Argininosuccinic acid, C02659|Acetone cyanohydrin, C04257|N-Acetyl-D-mannosamine 6-phosphate, C05822|Cytidine-3'-monophosphate, C19615|Hexadecanedioic acid, C00148|proline, C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid, C01157|L-Hydroxyproline, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C00422|TG(16:0/16:0/18:2), C00362|2'-Deoxyguanosine 5'-Monophosphate, C00093|sn-Glycerol 3-phosphate, C00257|D-Gluconic acid, C00430|5-Aminolevulinic acid, C01772|2-Hydroxycinnamic acid, C01487|Allose, C00515|D-Ornithine, C01672|Cadaverine, C00064|glutamine, C00135|L-Histidine, C01046|N-METHYLGLUTAMATE, C00422|TG(18:0/18:2/18:2), C00581|Glycocyamine, C00049|L-Aspartic Acid, C00422|TG(16:1/16:1/18:2), C00077|Ornithine, C04282|1-Pyrroline-4-hydroxy-2-carboxylate, C00422|TG(16:1/18:2/18:2), C00979|O-Acetylserine, C00257|Gluconic acid, C01043|N-Carbamoylsarcosine, C01879|Pyroglutamic acid, C00422|TG(16:1/18:1/18:2), C00645|N-Acetylmannosamine, C02630|2-Hydroxyglutarate, C00031|D-Glucose, C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	52	3065	0.017	4.76E-07	****
BAT	ko04148	Efferocytosis	C04230|1-Oleoyl-Sn-Glycero-3-Phosphocholine, C00003|beta-nicotinamide adenine dinucleotide, C04230|LysoPC(14:1(9Z)/0:0), C00077|Ornithine, C00031|D-Glucose	5	18	0.2778	8.19E-07	****
BAT	ko00970	Aminoacyl-tRNA biosynthesis	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00064|Glutamine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid	7	52	0.1346	9.01E-07	****
BAT	ko04978	Mineral absorption	C00064|L-Glutamine, C00148|proline, C00064|Glutamine, C00064|glutamine, C00031|D-Glucose	5	29	0.1724	1.04E-05	****
BAT	ko01060	Biosynthesis of plant secondary metabolites	C00064|L-Glutamine, C00049|aspartate, C00064|Glutamine, C00430|5-Aminolevulinic acid, C01672|Cadaverine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine	9	141	0.0638	1.33E-05	****
BAT	ko02020	Two-component system	C00064|L-Glutamine, C00049|aspartate, C00064|Glutamine, C00064|glutamine, C00049|L-Aspartic Acid, C00031|D-Glucose	6	53	0.1132	1.60E-05	****
BAT	ko04724	Glutamatergic synapse	C00064|L-Glutamine, C00064|Glutamine, C00064|glutamine	3	8	0.375	5.85E-05	****
BAT	ko04727	GABAergic synapse	C00064|L-Glutamine, C00064|Glutamine, C00064|glutamine	3	9	0.3333	8.71E-05	****
BAT	ko00260	Glycine, serine and threonine metabolism	C00049|aspartate, C00263|L-Homoserine, C00430|5-Aminolevulinic acid, C00581|Glycocyamine, C00049|L-Aspartic Acid	5	48	0.1042	0.000128532	***
BAT	ko05231	Choline metabolism in cancer	C04230|1-Oleoyl-Sn-Glycero-3-Phosphocholine, C04230|LysoPC(14:1(9Z)/0:0), C00093|sn-Glycerol 3-phosphate	3	11	0.2727	0.000168642	***
BAT	ko00770	Pantothenate and CoA biosynthesis	C00106|Uracil, C00049|aspartate, C05944|Panthenol, C00049|L-Aspartic Acid	4	30	0.1333	0.000241667	***
BAT	ko00410	beta-Alanine metabolism	C00106|Uracil, C00049|aspartate, C00135|L-Histidine, C00049|L-Aspartic Acid	4	32	0.125	0.000312176	***
BAT	ko01232	Nucleotide metabolism	C00106|Uracil, C00064|L-Glutamine, C00064|Glutamine, C00362|2'-Deoxyguanosine 5'-Monophosphate, C00064|glutamine	5	58	0.0862	0.000317379	***
BAT	ko00300	Lysine biosynthesis	C00049|aspartate, C00956|L-2-Aminoadipic acid, C00263|L-Homoserine, C00049|L-Aspartic Acid	4	35	0.1143	0.000443989	***
BAT	ko00240	Pyrimidine metabolism	C00106|Uracil, C00064|L-Glutamine, C05822|Cytidine-3'-monophosphate, C00064|Glutamine, C00064|glutamine	5	64	0.0781	0.000503263	***
BAT	ko00270	Cysteine and methionine metabolism	C00049|aspartate, C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C00049|L-Aspartic Acid, C00979|O-Acetylserine	5	67	0.0746	0.000622294	***
BAT	ko00997	Biosynthesis of various other secondary metabolites	C00049|aspartate, C12115|3-Amino-4-hydroxybenzoic acid, C00515|D-Ornithine, C00049|L-Aspartic Acid, C00077|Ornithine	5	67	0.0746	0.000622294	***
BAT	ko04964	Proximal tubule bicarbonate reclamation	C00064|L-Glutamine, C00064|Glutamine, C00064|glutamine	3	17	0.1765	0.00066453	***
BAT	ko00330	Arginine and proline metabolism	C00148|proline, C01157|L-Hydroxyproline, C00581|Glycocyamine, C00077|Ornithine, C01043|N-Carbamoylsarcosine	5	69	0.0725	0.000712628	***
BAT	ko00998	Biosynthesis of various antibiotics	C00049|aspartate, C12115|3-Amino-4-hydroxybenzoic acid, C00979|O-Acetyl-L-serine, C00049|L-Aspartic Acid, C00077|Ornithine, C00979|O-Acetylserine	6	108	0.0556	0.00085373	***
BAT	ko00910	Nitrogen metabolism	C00064|L-Glutamine, C00064|Glutamine, C00064|glutamine	3	19	0.1579	0.000932926	***
BAT	ko01200	Carbon metabolism	C00049|aspartate, C00979|O-Acetyl-L-serine, C00257|D-Gluconic acid, C00049|L-Aspartic Acid, C00979|O-Acetylserine, C00257|Gluconic acid	6	114	0.0526	0.001133167	**
BAT	ko00340	Histidine metabolism	C00388|Histamine, C00049|aspartate, C00135|L-Histidine, C00049|L-Aspartic Acid	4	47	0.0851	0.001376965	**
BAT	ko02030	Bacterial chemotaxis	C00049|aspartate, C00049|L-Aspartic Acid	2	6	0.3333	0.001565133	**
BAT	ko04080	Neuroactive ligand-receptor interaction	C00388|Histamine, C00049|aspartate, C11695|Anandamide, C00049|L-Aspartic Acid	4	53	0.0755	0.002157171	**
BAT	ko00564	Glycerophospholipid metabolism	C00570|CDP-ethanolamine, C04230|1-Oleoyl-Sn-Glycero-3-Phosphocholine, C04230|LysoPC(14:1(9Z)/0:0), C00093|sn-Glycerol 3-phosphate	4	56	0.0714	0.002643189	**
BAT	ko00750	Vitamin B6 metabolism	C00064|L-Glutamine, C00064|Glutamine, C00064|glutamine	3	29	0.1034	0.00326558	**
BAT	ko00920	Sulfur metabolism	C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C00979|O-Acetylserine	3	33	0.0909	0.00473337	**
BAT	ko01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	C00049|aspartate, C01672|Cadaverine, C00049|L-Aspartic Acid, C00077|Ornithine	4	67	0.0597	0.005063377	**
BAT	ko04122	Sulfur relay system	C00979|O-Acetyl-L-serine, C00979|O-Acetylserine	2	11	0.1818	0.005548605	**
BAT	ko00030	Pentose phosphate pathway	C00257|D-Gluconic acid, C00257|Gluconic acid, C00031|D-Glucose	3	37	0.0811	0.006543994	**
BAT	ko01240	Biosynthesis of cofactors	C00064|L-Glutamine, C02191|Protoporphyrin IX, C00049|aspartate, C00003|beta-nicotinamide adenine dinucleotide, C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid, C00064|Glutamine, C00430|5-Aminolevulinic acid, C00064|glutamine, C00049|L-Aspartic Acid	9	328	0.0274	0.006588757	**
BAT	ko00480	Glutathione metabolism	C01672|Cadaverine, C00077|Ornithine, C01879|Pyroglutamic acid	3	38	0.0789	0.007052504	**
BAT	ko00460	Cyanoamino acid metabolism	C00049|aspartate, C02659|Acetone cyanohydrin, C00049|L-Aspartic Acid	3	45	0.0667	0.011264746	*
BAT	ko01120	Microbial metabolism in diverse environments	C00064|L-Glutamine, C00049|aspartate, C00956|L-2-Aminoadipic acid, C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C07727|2-Indanone, C00064|Glutamine, C00257|D-Gluconic acid, C00430|5-Aminolevulinic acid, C03360|Nitrophenylphosphate, C01772|2-Hydroxycinnamic acid, C01108|Pyrogallol, C01487|Allose, C01672|Cadaverine, C00064|glutamine, C01046|N-METHYLGLUTAMATE, C00049|L-Aspartic Acid, C00979|O-Acetylserine, C00257|Gluconic acid	19	1072	0.0177	0.011311424	*
BAT	ko01210	2-Oxocarboxylic acid metabolism	C00049|aspartate, C00956|L-2-Aminoadipic acid, C00624|N-Acetyl-L-glutamic acid, C00049|L-Aspartic Acid, C00077|Ornithine	5	144	0.0347	0.016765565	*
BAT	ko00760	Nicotinate and nicotinamide metabolism	C00049|aspartate, C00003|beta-nicotinamide adenine dinucleotide, C00049|L-Aspartic Acid	3	55	0.0545	0.01934825	*
BAT	ko00710	Carbon fixation in photosynthetic organisms	C00049|aspartate, C00049|L-Aspartic Acid	2	21	0.0952	0.019811982	*
BAT	ko00310	Lysine degradation	C03793|Trimethyllysine, C00956|L-2-Aminoadipic acid, C01672|Cadaverine	3	56	0.0536	0.02029382	*
BAT	ko00230	Purine metabolism	C00064|L-Glutamine, C00064|Glutamine, C00362|2'-Deoxyguanosine 5'-Monophosphate, C00064|glutamine	4	101	0.0396	0.020733034	*
BAT	ko04932	Non-alcoholic fatty liver disease	C00031|D-Glucose	1	2	0.5	0.020755321	*
BAT	ko04152	AMPK signaling pathway	C00003|beta-nicotinamide adenine dinucleotide, C00031|D-Glucose	2	22	0.0909	0.021648193	*
BAT	ko00630	Glyoxylate and dicarboxylate metabolism	C00064|L-Glutamine, C00064|Glutamine, C00064|glutamine	3	64	0.0469	0.028764903	*
BAT	ko04113	Meiosis - yeast	C00031|D-Glucose	1	3	0.3333	0.030973262	*
BAT	ko04910	Insulin signaling pathway	C00031|D-Glucose	1	4	0.25	0.041086157	*
BAT	ko05310	Asthma	C00388|Histamine	1	5	0.2	0.051095073	ns
BAT	ko03320	PPAR signaling pathway	C14767|Dimorphecolic acid	1	5	0.2	0.051095073	ns
BAT	ko07216	Catecholamine transferase inhibitors	C01108|Pyrogallol	1	5	0.2	0.051095073	ns
BAT	ko04068	FoxO signaling pathway	C00031|D-Glucose	1	5	0.2	0.051095073	ns
BAT	ko01065	Biosynthesis of alkaloids derived from histidine and purine	C00388|Histamine, C00135|L-Histidine	2	35	0.0571	0.051150104	ns
BAT	ko04750	Inflammatory mediator regulation of TRP channels	C00388|Histamine, C11695|Anandamide	2	35	0.0571	0.051150104	ns
BAT	ko04930	Type II diabetes mellitus	C00031|D-Glucose	1	6	0.1667	0.061001061	ns
BAT	ko00261	Monobactam biosynthesis	C00049|aspartate, C00049|L-Aspartic Acid	2	39	0.0513	0.062043099	ns
BAT	ko00908	Zeatin biosynthesis	C00979|O-Acetyl-L-serine, C00979|O-Acetylserine	2	39	0.0513	0.062043099	ns
BAT	ko04361	Axon regeneration	C11695|Anandamide	1	7	0.1429	0.070805164	ns
BAT	ko04211	Longevity regulating pathway	C00003|beta-nicotinamide adenine dinucleotide	1	8	0.125	0.080508414	ns
BAT	ko05111	Biofilm formation - Vibrio cholerae	C00031|D-Glucose	1	8	0.125	0.080508414	ns
BAT	ko00404	Staurosporine biosynthesis	C00148|proline, C00135|L-Histidine	2	48	0.0417	0.089032547	ns
BAT	ko04933	AGE-RAGE signaling pathway in diabetic complications	C00031|D-Glucose	1	9	0.1111	0.090111833	ns
BAT	ko07227	Histamine H2/H3 receptor agonists/antagonists	C00388|Histamine	1	10	0.1	0.099616434	ns
BAT	ko04212	Longevity regulating pathway - worm	C00003|beta-nicotinamide adenine dinucleotide	1	10	0.1	0.099616434	ns
BAT	ko04664	Fc epsilon RI signaling pathway	C00388|Histamine	1	11	0.0909	0.109023217	ns
BAT	ko04936	Alcoholic liver disease	C00003|beta-nicotinamide adenine dinucleotide	1	11	0.0909	0.109023217	ns
BAT	ko04917	Prolactin signaling pathway	C00031|D-Glucose	1	11	0.0909	0.109023217	ns
BAT	ko04721	Synaptic vesicle cycle	C00388|Histamine	1	12	0.0833	0.118333174	ns
BAT	ko04911	Insulin secretion	C00031|D-Glucose	1	12	0.0833	0.118333174	ns
BAT	ko05208	Chemical carcinogenesis - reactive oxygen species	C00003|beta-nicotinamide adenine dinucleotide, C02389|p-Benzosemiquinone	2	57	0.0351	0.118803349	ns
BAT	ko00520	Amino sugar and nucleotide sugar metabolism	C04257|N-Acetyl-D-mannosamine 6-phosphate, C00645|N-Acetylmannosamine, C00031|D-Glucose	3	118	0.0254	0.12476921	ns
BAT	ko04971	Gastric acid secretion	C00388|Histamine	1	14	0.0714	0.136666527	ns
BAT	ko04066	HIF-1 signaling pathway	C00031|D-Glucose	1	15	0.0667	0.145691858	ns
BAT	ko00190	Oxidative phosphorylation	C00003|beta-nicotinamide adenine dinucleotide	1	16	0.0625	0.154624231	ns
BAT	ko01070	Biosynthesis of plant hormones	C00049|aspartate, C00049|L-Aspartic Acid	2	68	0.0294	0.157948772	ns
BAT	ko00311	Penicillin and cephalosporin biosynthesis	C00956|L-2-Aminoadipic acid	1	18	0.0556	0.172213867	ns
BAT	ko00333	Prodigiosin biosynthesis	C00148|proline	1	18	0.0556	0.172213867	ns
BAT	ko04723	Retrograde endocannabinoid signaling	C11695|Anandamide	1	19	0.0526	0.180872988	ns
BAT	ko00999	Biosynthesis of various plant secondary metabolites	C00049|aspartate, C01772|2-Hydroxycinnamic acid, C00049|L-Aspartic Acid	3	149	0.0201	0.202896708	ns
BAT	ko04925	Aldosterone synthesis and secretion	C00003|beta-nicotinamide adenine dinucleotide	1	22	0.0455	0.206318517	ns
BAT	ko00521	Streptomycin biosynthesis	C00031|D-Glucose	1	24	0.0417	0.222847956	ns
BAT	ko00627	Aminobenzoate degradation	C03360|Nitrophenylphosphate, C01108|Pyrogallol	2	86	0.0233	0.225963111	ns
BAT	ko04922	Glucagon signaling pathway	C00031|D-Glucose	1	26	0.0385	0.23903818	ns
BAT	ko00073	Cutin, suberine and wax biosynthesis	C19615|Hexadecanedioic acid	1	27	0.037	0.247008235	ns
BAT	ko04973	Carbohydrate digestion and absorption	C00031|D-Glucose	1	27	0.037	0.247008235	ns
BAT	ko00591	Linoleic acid metabolism	C14767|Dimorphecolic acid	1	28	0.0357	0.254896047	ns
BAT	ko00780	Biotin metabolism	C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid	1	29	0.0345	0.262702453	ns
BAT	ko00730	Thiamine metabolism	C00003|beta-nicotinamide adenine dinucleotide	1	31	0.0323	0.278074346	ns
BAT	ko00010	Glycolysis / Gluconeogenesis	C00031|D-Glucose	1	31	0.0323	0.278074346	ns
BAT	ko00332	Carbapenem biosynthesis	C00148|proline	1	32	0.0312	0.285641464	ns
BAT	ko00401	Novobiocin biosynthesis	C00148|proline	1	32	0.0312	0.285641464	ns
BAT	ko01051	Biosynthesis of ansamycins	C12215|Iminoerythrose 4-phosphate	1	32	0.0312	0.285641464	ns
BAT	ko04742	Taste transduction	C00031|D-Glucose	1	32	0.0312	0.285641464	ns
BAT	ko00660	C5-Branched dibasic acid metabolism	C02630|2-Hydroxyglutarate	1	35	0.0286	0.307877115	ns
BAT	ko00500	Starch and sucrose metabolism	C00031|D-Glucose	1	37	0.027	0.322320647	ns
BAT	ko05415	Diabetic cardiomyopathy	C00031|D-Glucose	1	39	0.0256	0.336467171	ns
BAT	ko00946	Degradation of flavonoids	C14131|Equol	1	40	0.025	0.343430939	ns
BAT	ko00640	Propanoate metabolism	C05984|2-Hydroxybutanoic acid	1	41	0.0244	0.350322703	ns
BAT	ko00592	alpha-Linolenic acid metabolism	C16321|9(S)-HpOTrE	1	44	0.0227	0.37057326	ns
BAT	ko00052	Galactose metabolism	C00031|D-Glucose	1	46	0.0217	0.383726856	ns
BAT	ko00650	Butanoate metabolism	C02630|2-Hydroxyglutarate	1	47	0.0213	0.390201734	ns
BAT	ko00360	Phenylalanine metabolism	C01772|2-Hydroxycinnamic acid	1	49	0.0204	0.402951104	ns
BAT	ko01110	Biosynthesis of secondary metabolites	C00388|Histamine, C02191|Protoporphyrin IX, C00049|aspartate, C12115|3-Amino-4-hydroxybenzoic acid, C00956|L-2-Aminoadipic acid, C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C03406|Argininosuccinic acid, C02659|Acetone cyanohydrin, C00148|proline, C00624|N-Acetyl-L-glutamic acid, C00093|sn-Glycerol 3-phosphate, C00257|D-Gluconic acid, C00430|5-Aminolevulinic acid, C01772|2-Hydroxycinnamic acid, C12215|Iminoerythrose 4-phosphate, C00515|D-Ornithine, C01672|Cadaverine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C16321|9(S)-HpOTrE, C00979|O-Acetylserine, C00257|Gluconic acid, C00031|D-Glucose	25	2273	0.011	0.415118948	ns
BAT	ko00983	Drug metabolism - other enzymes	C00003|beta-nicotinamide adenine dinucleotide	1	52	0.0192	0.421584339	ns
BAT	ko00051	Fructose and mannose metabolism	C01487|Allose	1	55	0.0182	0.439644464	ns
BAT	ko02060	Phosphotransferase system (PTS)	C00031|D-Glucose	1	57	0.0175	0.45137475	ns
BAT	ko00860	Porphyrin metabolism	C02191|Protoporphyrin IX, C00430|5-Aminolevulinic acid	2	148	0.0135	0.459735561	ns
BAT	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	C01672|Cadaverine	1	72	0.0139	0.531969566	ns
BAT	ko00524	Neomycin, kanamycin and gentamicin biosynthesis	C00031|D-Glucose	1	81	0.0123	0.574603027	ns
BAT	ko00901	Indole alkaloid biosynthesis	C00031|D-Glucose	1	81	0.0123	0.574603027	ns
BAT	ko00380	Tryptophan metabolism	C08313|3-Methylindole	1	83	0.012	0.583544455	ns
BAT	ko00680	Methane metabolism	C01046|N-METHYLGLUTAMATE	1	88	0.0114	0.60509605	ns
BAT	ko00541	O-Antigen nucleotide sugar biosynthesis	C00645|N-Acetylmannosamine	1	90	0.0111	0.613405668	ns
BAT	ko01250	Biosynthesis of nucleotide sugars	C04257|N-Acetyl-D-mannosamine 6-phosphate, C00645|N-Acetylmannosamine	2	200	0.01	0.622740383	ns
BAT	ko04976	Bile secretion	C00031|D-Glucose	1	97	0.0103	0.64115542	ns
BAT	ko00624	Polycyclic aromatic hydrocarbon degradation	C07727|2-Indanone	1	107	0.0093	0.677424836	ns
Beige fat	ko05231	Choline metabolism in cancer	C04230|1-Palmitoyl-Sn-Glycero-3-Phosphocholine, C04230|LysoPC(P-16:0/0:0), C00157|PC(15:0/24:0), C04230|LysoPC(24:1(15Z)/0:0), C00157|PC(22:4(7Z,10Z,13Z,16Z)/P-16:0), C00157|PC(20:1/22:6), C00157|PC(20:2(11Z,14Z)/20:2(11Z,14Z)), C00157|PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z)), C00157|PC(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(20:0/22:5(4Z,7Z,10Z,13Z,16Z)), C00157|PC(16:0/18:0), C00157|PC(22:0/18:2(9Z,12Z)), C00157|PC(22:4(7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z)), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))	14	11	1.2727	0	****
Beige fat	ko04136	Autophagy - other	C00350|PE(18:1/20:4), C00350|PE(18:0/20:4), C00350|PE(P-18:0/20:4), C00350|PE(18:0/22:4)	4	3	1.3333	0	****
Beige fat	ko04138	Autophagy - yeast	C00350|PE(18:1/20:4), C00350|PE(18:0/20:4), C00350|PE(P-18:0/20:4), C00350|PE(18:0/22:4)	4	3	1.3333	0	****
Beige fat	ko05130	Pathogenic Escherichia coli infection	C00350|PE(18:1/20:4), C00350|PE(18:0/20:4), C00350|PE(P-18:0/20:4), C00350|PE(18:0/22:4)	4	3	1.3333	0	****
Beige fat	ko00564	Glycerophospholipid metabolism	C01233|Glycerylphosphorylethanolamine, C04230|1-Palmitoyl-Sn-Glycero-3-Phosphocholine, C00570|CDP-ethanolamine, C04230|LysoPC(P-16:0/0:0), C00157|PC(15:0/24:0), C04230|LysoPC(24:1(15Z)/0:0), C00157|PC(22:4(7Z,10Z,13Z,16Z)/P-16:0), C00157|PC(20:1/22:6), C00350|PE(18:1/20:4), C00350|PE(18:0/20:4), C00350|PE(P-18:0/20:4), C00157|PC(20:2(11Z,14Z)/20:2(11Z,14Z)), C00157|PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z)), C00157|PC(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(20:0/22:5(4Z,7Z,10Z,13Z,16Z)), C00157|PC(16:0/18:0), C00157|PC(22:0/18:2(9Z,12Z)), C00157|PC(22:4(7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z)), C00350|PE(18:0/22:4), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)), C00065|L-Serine	21	56	0.375	4.15E-26	****
