Tissue	kegg_pathway_ID	kegg_pathway_Name	IDs	S	B	Rich.Factor	P.value	Sig.Sign.P
Cerebellum	ko04138	Autophagy - yeast	C00350|PE(18:2(9Z,12Z)/18:1(11Z))	1	3	0.3333	0.026850399	*
Cerebellum	ko05130	Pathogenic Escherichia coli infection	C00350|PE(18:2(9Z,12Z)/18:1(11Z))	1	3	0.3333	0.026850399	*
Cerebellum	ko04978	Mineral absorption	C00065|Serine, C00078|L-Tryptophan	2	29	0.069	0.027835624	*
Cerebellum	ko00730	Thiamine metabolism	C00082|L-Tyrosine, C01279|4-Amino-5-hydroxymethyl-2-methylpyrimidine	2	31	0.0645	0.031517448	*
Cerebellum	ko02010	ABC transporters	C00475|Cytidine, C00065|Serine, C01279|4-Amino-5-hydroxymethyl-2-methylpyrimidine, C00077|L-Ornithine	4	138	0.029	0.035422294	*
Cerebellum	ko04142	Lysosome	C00002|Adenosine triphosphate	1	4	0.25	0.035642093	*
Cerebellum	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	C00350|PE(18:2(9Z,12Z)/18:1(11Z))	1	4	0.25	0.035642093	*
Cerebellum	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	C00082|L-Tyrosine, C00078|L-Tryptophan	2	35	0.0571	0.039416783	*
Cerebellum	ko00600	Sphingolipid metabolism	C00065|Serine, C01747|Psychosine	2	35	0.0571	0.039416783	*
Cerebellum	ko01063	Biosynthesis of alkaloids derived from shikimate pathway	C00082|L-Tyrosine, C00078|L-Tryptophan, C00398|Tryptamine, C00267|alpha-D-Glucose	4	143	0.028	0.039582164	*
Cerebellum	ko01210	2-Oxocarboxylic acid metabolism	C00082|L-Tyrosine, C00078|L-Tryptophan, C00624|N-ACETYLGLUTAMATE, C00077|L-Ornithine	4	144	0.0278	0.040446489	*
Cerebellum	ko05167	Kaposi sarcoma-associated herpesvirus infection	C00350|PE(18:2(9Z,12Z)/18:1(11Z))	1	5	0.2	0.044355718	*
Cerebellum	ko00480	Glutathione metabolism	C00750|Spermine, C00077|L-Ornithine	2	38	0.0526	0.045781133	*
Cerebellum	ko00261	Monobactam biosynthesis	C00082|L-Tyrosine, C00065|Serine	2	39	0.0513	0.04798164	*
Cerebellum	ko04916	Melanogenesis	C00082|L-Tyrosine	1	6	0.1667	0.052991955	ns
Cerebellum	ko04621	NOD-like receptor signaling pathway	C00002|Adenosine triphosphate	1	6	0.1667	0.052991955	ns
