Species	KEGG ontology	combined_score
Escherichia_sp._E2661	putative methyltransferase	-0.528612113
Helicobacter_sp._MIT_03-1616	putative methyltransferase	0.595813751
Helicobacter_rodentium	putative methyltransferase	0.608242721
Helicobacter_apodemus	putative methyltransferase	0.612903585
Helicobacter_typhlonius	putative methyltransferase	0.618012924
Helicobacter_ganmani	putative methyltransferase	0.693233083
Escherichia_sp._4_1_40B	Squalene/phytoene synthase	0.541762445
Escherichia_sp._E2661	Squalene/phytoene synthase	0.620195366
Helicobacter_ganmani	Squalene/phytoene synthase	-0.661654135
Escherichia_unclassified	Squalene/phytoene synthase	0.679699248
Helicobacter_sp._MIT_03-1616	Squalene/phytoene synthase	-0.677378867
Helicobacter_rodentium	Squalene/phytoene synthase	-0.701459996
Helicobacter_hepaticus	Squalene/phytoene synthase	-0.712606739
Helicobacter_apodemus	Squalene/phytoene synthase	-0.754283119
Helicobacter_typhlonius	Squalene/phytoene synthase	-0.764633337


