id	Type	Change	Mean_Young	Mean_Aged	Aged_1	Aged_2	Aged_3	Aged_4	Aged_5	Aged_6	Aged_7	Aged_8	Aged_9	Aged_10	Young_1	Young_2	Young_3	Young_4	Young_5	Young_6	Young_7	Young_8	Young_9	Young_10
Biosynthesis of siderophore group nonribosomal peptides	Secondary metabolites biosynthesis	Downregulated	0.002448 	0.000651 	0.000755 	0.000281 	0.001343 	0.000614 	0.000213 	0.000845 	0.000308 	0.000619 	0.000508 	0.001028 	0.001759 	0.003530 	0.001282 	0.005531 	0.005735 	0.002527 	0.002071 	0.000908 	0.000653 	0.000482 
Biosynthesis of type II polyketide products	Terpenoid and polyketide metabolism	upregulated	0.000789 	0.001994 	0.002917 	0.001368 	0.002789 	0.001812 	0.000313 	0.001808 	0.002597 	0.003156 	0.000927 	0.002254 	0.001092 	0.000817 	0.000658 	0.001494 	0.000604 	0.000595 	0.000469 	0.000395 	0.000825 	0.000942 
Sesquiterpenoid and triterpenoid biosynthesis	Terpenoid and polyketide metabolism	Downregulated	0.003953 	0.001463 	0.000239 	0.004408 	0.000274 	0.001287 	0.001913 	0.000614 	0.004301 	0.000651 	0.000855 	0.000082 	0.004307 	0.006604 	0.006067 	0.002293 	0.003540 	0.003619 	0.004803 	0.002716 	0.001994 	0.003583 
Ethylbenzene degradation	Xenobiotics biodegradation and metabolism	Downregulated	0.000488 	0.000180 	0.000050 	0.000089 	0.000261 	0.000098 	0.000041 	0.000139 	0.000070 	0.000116 	0.000091 	0.000845 	0.000368 	0.000829 	0.000458 	0.000233 	0.000448 	0.000733 	0.000516 	0.000121 	0.000867 	0.000311 
Fluorobenzoate degradation	Xenobiotics biodegradation and metabolism	Downregulated	0.001812 	0.000473 	0.000902 	0.000382 	0.000531 	0.000263 	0.000114 	0.000537 	0.000788 	0.000521 	0.000135 	0.000559 	0.002285 	0.001812 	0.002174 	0.003481 	0.003799 	0.001886 	0.001034 	0.000962 	0.000350 	0.000333 
Geraniol degradation	Xenobiotics biodegradation and metabolism	Downregulated	0.002341 	0.000452 	0.000312 	0.000292 	0.000545 	0.000498 	0.000302 	0.000645 	0.000242 	0.000830 	0.000383 	0.000473 	0.001608 	0.003071 	0.001262 	0.005610 	0.005298 	0.002603 	0.001842 	0.001085 	0.000503 	0.000526 
Naphthalene degradation	Xenobiotics biodegradation and metabolism	Downregulated	0.019851 	0.016497 	0.017720 	0.016276 	0.014932 	0.017516 	0.013195 	0.017421 	0.018582 	0.014028 	0.018323 	0.016982 	0.021209 	0.015835 	0.020845 	0.022514 	0.024614 	0.021886 	0.015910 	0.019166 	0.019740 	0.016786 
Toluene degradation	Xenobiotics biodegradation and metabolism	Downregulated	0.001437 	0.000222 	0.000216 	0.000377 	0.000197 	0.000201 	0.000078 	0.000136 	0.000547 	0.000191 	0.000117 	0.000159 	0.001165 	0.001745 	0.000725 	0.003300 	0.003077 	0.001930 	0.001020 	0.000721 	0.000376 	0.000315 


