Module	Tissue	mean_Aged	mean_Young	FC	pvalue
PM18	Spleen	-0.024745044	-0.026447282	0.93563658	0.066996371
PM18	Testis	-0.006278214	-0.006257269	1.003347227	0.993499437
PM18	Thymus	-0.011628066	-0.023008746	0.505375912	0.146051712
PM18	WAT	0.009159116	0.013442057	0.681377566	0.069570873
PM19	BAT	0.024831545	0.032176317	0.771733601	0.600088697
PM19	Beige fat	0.19280504	0.088268415	2.18430388	0.012766461
PM19	Bladder	0.045015512	0.054305813	0.828926214	0.257720948
PM19	Bone	0.029232925	0.034657878	0.84347128	0.540820998
PM19	Brain	-0.003303452	-0.009763652	0.338341807	0.46369373
PM19	Cerebellum	-0.086985759	-0.088936828	0.978062297	0.044850242
PM19	Colon	-0.037167872	-0.043267076	0.859033597	0.056475233
PM19	Eye	-0.038068644	-0.05351717	0.711335138	0.160227004
PM19	Heart	-0.055243038	-0.062546654	0.883229309	0.146111536
PM19	Kidney	-0.034086272	-0.050068734	0.680789562	0.126426641
PM19	Liver	-0.006449638	-0.016966947	0.380129563	0.000173534
PM19	Lung	0.009996647	0.000241098	41.46295857	0.33966436
PM19	Muscle	-0.005309849	-0.020910308	0.253934528	0.157040488
PM19	Pancrea	-0.056217328	-0.064347948	0.873646002	0.103858558
PM19	Skin	0.178259182	0.154589	1.153116859	0.096082841
PM19	Small int	-0.050109696	-0.055981214	0.895116288	0.033921082
PM19	Spinal cord	-0.069015388	-0.076874304	0.897769282	0.053886673
PM19	Spleen	-0.022662525	-0.037228089	0.608747998	0.038552752
PM19	Testis	-0.030200894	-0.04427333	0.68214642	0.027328986
PM19	Thymus	-0.01458471	-0.054558592	0.267321959	0.072431072
PM19	WAT	0.232713656	0.111552883	2.086128563	0.016473547
PM2	BAT	-0.037327193	-0.039883849	0.935897467	0.04845355
PM2	Beige fat	-0.012655233	-0.023260416	0.54406735	0.003852582
PM2	Bladder	0.005335359	0.005646298	0.944930594	0.91160479
PM2	Bone	-0.039731708	-0.044292249	0.89703523	0.236947781
PM2	Brain	0.014805255	0.013791167	1.073531723	0.832950689
PM2	Cerebellum	0.228515779	0.231914271	0.985345909	0.091455526
PM2	Colon	-0.000729497	-0.005900275	0.123637807	0.028506458
PM2	Eye	-0.055716295	-0.054932892	1.014261101	0.711732631
PM2	Heart	-0.055884044	-0.05510762	1.014089227	0.335183041
