Description	BAT	Beige fat	Bladder	Bone	Brain	Cerebellum	Colon	Eye	Heart	Kidney	Liver	Lung	Muscle	Pancrea	Skin	Small intestine	Spinal cord	Spleen	Testis	Thymus	WAT
Phagosome	0	0	2.099716723	3.363443147	0	0	0	0	0	0	0	0	0	0	1.762136059	0	2.719961589	0	0	0	0
cGMP-PKG signaling pathway	0	0	0	0	0	2.201955765	0	0	0	0	0	1.423249769	2.458767391	0	0	1.875803198	1.571427236	0	0	0	0
Motor proteins	0	0	0	0	0	0	0	0	0	0	0	1.997354605	2.153053541	0	1.633821495	0	3.157972483	0	0	0	0
Autophagy - animal	0	0	0	0	0	3.696769933	0	0	0	0	0	0	0	0	0	0	1.629488225	0	1.487392558	0	0
Fc gamma R-mediated phagocytosis	0	0	2.100748134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.775230962	0	0	0
B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.803695158	0	0	0
Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.662940224	0	0	0
Chemokine signaling pathway	0	0	0	0	0	1.426750732	0	0	0	0	0	2.847965718	0	0	0	0	0	5.357487872	0	0	0
NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.827231045	0	0	0
Neutrophil extracellular trap formation	0	0	0	1.575228866	0	0	0	0	0	0	0	0	2.018515178	0	0	1.65828116	0	1.730506969	0	0	0
Ubiquitin mediated proteolysis	0	0	0	1.332532158	0	0	0	1.465992837	0	0	0	0	0	0	0	0	0	0	3.720447646	1.978665487	0
mRNA surveillance pathway	0	0	0	0	0	0	0	2.078776844	0	0	0	0	0	0	0	0	0	0	3.08541764	2.640577683	0
Inositol phosphate metabolism	0	0	0	0	0	4.184886168	0	0	0	1.336049798	0	0	0	0	0	0	1.47786185	0	2.137100139	0	0
Cell cycle	0	0	0	2.806710242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.829058103	0
Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	1.87897865	0	0	0	0	0	4.041150331	0	0	0	2.208688503	0
Notch signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.730013395	0
RIG-I-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	1.318158071	0	0	0	0	0	0	1.578433107	0
Regulation of lipolysis in adipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.760202775
Glycerolipid metabolism	3.470815522	0	0	0	0	0	0	0	0	1.48153423	3.087664277	0	0	0	0	0	0	0	0	0	4.137573873
Cholesterol metabolism	0	0	0	0	0	0	0	0	0	0	3.471448681	0	2.613790789	0	2.578102387	0	0	0	0	0	3.133749918
Apelin signaling pathway	0	0	0	0	0	1.370344928	0	0	0	0	0	0	1.703270582	0	0	0	0	0	0	0	2.850503605


